283753 290187 611224 430470 322381 409296 400622 -99744.9 108464 -184137 60415.5 116301 323671 279510 338607 342298 207837 -106379 177992 -92279.8 216156 -345780 88570.9 36627.4 100477 64747.7 497984 429981 417141 375623 691546 116694 261460 73833.5 40669.6 -133637 -43590.5 -173003 10417.7 -246794 -213314 -280570 -143389 -168361 -127249 119476 156626 -29635.7 478392 184087 365902 602567 684997 569256 357627 380634 356955 -58558.1 184698 22051.2 400113 -169440 199257 105758 303488 11550 201089 -51680 32856.3 -217255 17433.9 -108147 354619 121203 200033 255135 301055 154905 329787 120995 303457 -87280.3 38238.9 -53968.4 12285.9 122835 318599 122170 477150 369685 544506 130189 356240 150425 -13173.9 -155493 35137.6 82161.1 181978 226330 
-186240 -417846 -895644 -392789 -436380 -1.52375e+06 -211235 -330953 79544.8 -16711.7 199820 -197763 -235194 -310478 76692.6 -680602 323975 31722.1 73861.4 103397 472916 350825 51691.9 -227917 -170024 -1.34611e+06 -763784 -1.793e+06 -1.0202e+06 -925333 -362565 -241392 -58157.7 110334 481362 -127125 745319 -68764.4 -60793.5 -445611 -404788 -239884 -15593.1 292902 240433 -288949 214555 -673025 -658260 -858325 -695683 -995231 -718263 -520841 -336976 -828168 -241816 -604660 -344462 -395793 -514115 -576481 -491646 -700095 -570403 -854228 -499156 -1.07246e+06 -533521 -402135 104648 111444 34008.3 130741 229444 281551 429680 -133928 161030 -605302 -437078 -583729 -365136 -126327 -645758 -1.21932e+06 -559008 -991521 -614476 -806473 -312731 -259758 -263238 11723.3 146050 539344 487015 171853 472113 -149308 
-366595 -16739.1 -237556 -178567 -68287.4 -78918.1 -9476.41 -206879 -82571.9 -191996 -251668 -126512 -237897 -113807 -55147.2 -83226.2 -70772.7 -114431 -89538.2 -239736 -39498.6 -220530 -257195 -51051.8 12898.5 -34083.5 122094 183650 179982 143314 150549 250496 -64722.5 -55503.9 -110637 -368301 -411624 -407856 -361098 -488004 -423551 -85885.3 -190683 -105649 -119349 -115115 -56079.9 -18639.5 28898.2 -31212.6 51167.3 -334833 -173537 -301281 -215995 -101888 12082.7 -19672.8 -73178.9 -102619 104644 -408432 -248551 -145963 -61991.6 -183415 -107115 -131566 -285251 -419524 -361083 -191677 -163970 106142 8905.74 -24440.1 162435 109020 45480.8 -29455.2 43378.8 -140816 -310873 -281545 -338019 -295142 -303717 -302792 -186369 -111330 191396 -181662 68890.4 -76739.5 -240995 -375056 -237660 -145817 -146774 -231323 
9360.7 61218 -138198 60861.2 91010.9 68149.2 226402 371180 253369 339407 443219 451404 212049 683860 449334 545455 311904 457807 372937 250447 279504 7219.25 -178773 99465.4 -48227.6 40995.9 229192 359870 156889 222560 324408 436536 448596 367562 430070 317815 373942 480607 326876 255183 212510 275989 67532.7 416084 339501 347774 246616 292108 132209 50695 126555 106291 -256121 205775 -22603.1 31562.2 -55114.2 -219055 -295462 -546639 -395623 -464529 -626287 -45580.9 -158342 46648.5 305414 271505 371415 -26522.4 35942.5 -20455.3 -244967 -12013.3 -290897 -184338 -131754 -129588 17318.6 -86143.3 41465.2 5453.09 -226379 -105227 -97544 62621.5 25526.7 80731.4 145580 2018.45 9802.7 52347.6 9012.13 223942 216650 292039 315288 292408 360909 241237 
32829.5 -101168 219820 -76699.2 -419168 -372191 -802166 -689194 -686398 -787405 -292219 -614875 -353911 -408082 -546961 -149601 -810975 -690124 -577651 -1.18743e+06 -1.13519e+06 -1.10202e+06 -668449 -237264 -94814.5 543837 621570 437540 121493 33668.5 -250628 -483212 -610485 -759974 -989715 -488570 -1.14759e+06 -648182 -950890 -1.02781e+06 -1.22124e+06 -1.4363e+06 -1.10392e+06 -1.05218e+06 -1.19582e+06 -884730 -1.11181e+06 -798403 -636415 -725437 119043 -416027 199111 -209531 -344863 32271.6 -758480 -688214 -696036 -559942 -69639.2 -206216 247170 255577 286193 267818 261300 382059 120619 13475 -1180.61 -198810 44262.7 -241118 -431135 -623584 -391315 -434824 -294145 -585445 -277286 -804988 -777165 -689059 -507453 -576343 -268790 139453 353527 506301 1.0175e+06 158106 -3401.89 -474135 -554723 -664152 -316192 34211.9 102964 463386 
36215.9 -376884 -295326 -242478 -281413 -1.15262e+06 -269653 -703689 -108225 105574 534233 347372 374458 330230 351560 -228664 478554 -226815 -244313 -283169 -159091 -424357 -551904 -618391 -499492 -985956 -305003 -758799 -74742.9 -8911.75 300089 187157 499222 598796 709619 -2297.54 1.17012e+06 277371 209867 63960.1 -146751 -503334 -688760 -547966 -658534 -779554 -344906 -814703 -293357 -229344 -12735 -28783.5 109721 198503 548463 -231443 1.07794e+06 349306 616235 257797 307243 -244669 -431509 -733372 -421861 -1.11082e+06 -71941.7 -590211 -69235.5 -81675.5 97374.8 -22404.1 69182.3 171055 429519 -385072 816122 26769 124868 287815 -40446.1 -23605.2 -5104.31 210131 169093 135684 518275 -162372 139809 107840 439157 144334 324823 369911 679320 -96482.8 859987 -167511 5239.7 -202490 
617493 331798 946157 128674 249003 -318538 -349704 -734987 -341137 -1.24328e+06 -629650 -958347 -308536 -1.03537e+06 -836715 -830854 -518750 -440288 164635 -64620.8 461044 498857 110484 -15373.9 41614.2 -152720 -385237 -271764 -416614 -369539 -530548 -714130 -1.09744e+06 -321092 -556787 -269494 -66301.8 -242195 -132635 -35601 -55141.8 -217298 106996 -629293 -228140 -399424 -391566 -600909 115202 -764082 -69604.9 -572850 377067 -374865 -79097.8 -225288 -55148.3 -211116 276753 58417 510532 62136.9 693553 -826028 -551382 -1.15954e+06 -1.49634e+06 -2.01919e+06 -1.06705e+06 -1.03997e+06 -435467 -710975 307120 -350707 300729 236635 296654 96644 427917 -558856 -421806 -656775 -339377 -709555 -532996 -487482 -347071 -551361 -322702 147995 342397 163972 90552.8 -355096 -386429 -876146 -898676 -947978 -1.10133e+06 -219938 
-545232 -654894 -467475 -216181 -89158.6 363376 328030 327144 264638 446981 -437155 679040 -163791 -25168.9 -47462.6 -94784.9 -187980 -226292 -270234 -232862 -710678 -191205 -329244 -289638 105632 262089 84724.2 374469 502151 446509 151067 553674 338525 -71721 -28640.8 -237068 -410943 -678675 -490095 -243285 -262787 -188754 -117036 76964.2 69784.4 341400 65743.4 115948 17396.8 150817 -530895 452461 -199056 88433.8 -207468 -101031 9517.18 -28061.8 -222719 112927 -956762 158579 -516084 -438043 139066 42856.5 169704 319155 723677 1.08867e+06 754819 967094 526926 330365 90644.9 -42201.5 -150058 -249285 -214761 -227925 -523431 309779 -223497 -13461.8 84921.9 -26159.2 -301697 -150407 -90616.1 283238 -4321.72 519589 266785 318199 93544.8 125494 -182468 -198609 -360769 -483089 
756245 602427 1.09571e+06 555719 1.12041e+06 475296 758351 422013 750722 -58313.1 129686 181670 -706.157 233892 592259 198906 759650 624762 -200143 1.42345e+06 457605 309314 413762 289757 101867 214539 169465 260997 296289 15633.1 185176 -162450 427754 773841 290959 701329 1.16554e+06 867196 -128081 1.27968e+06 984616 780404 760670 560839 382976 -589060 -360930 -50499.6 -292113 -144152 348708 199486 806558 885674 894695 960231 961327 1.13748e+06 837912 1.31042e+06 892269 1.04611e+06 665906 644566 963733 570461 -78838.3 410653 -1.00922e+06 132248 162155 -96728.7 1.01323e+06 783043 883400 885425 809887 1.4136e+06 1.16183e+06 936510 740199 960055 743983 387899 254327 356286 221666 -45218.4 -651420 629288 275622 269240 846338 572784 677182 635639 183710 586201 426087 533804 
1.04039e+06 764603 702559 765581 180920 -147657 -334262 -574155 -709857 -1.06941e+06 -1.03833e+06 -909618 -1.37042e+06 -651069 -109213 202567 478702 886502 747997 697510 844533 911159 456921 650944 315668 632714 302105 618474 380090 602298 422185 575219 346404 793238 137591 224478 136065 376076 313773 620585 707026 703341 610400 493683 446718 45837.2 -118523 -498636 -583509 -1.07709e+06 -871805 -1.07175e+06 -621474 -238388 -173970 395530 913613 759091 1.03223e+06 917779 946701 935388 275627 925914 737407 413012 330071 413511 55284.8 -166766 -84976.6 -165278 -832614 -568951 -503459 -61012.2 267602 958320 1.02975e+06 887883 914451 963742 444813 621005 150119 51832.9 -311466 249845 -115956 173632 -15357.4 -64411.2 -574893 80790 -223179 -309916 48368.2 -198990 -312898 -9238.09 
